Element,Notes,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Al,,Pakistan,4.065040650406504e-05,6.976744186046511e-05,6.617647058823529e-05,6.56934306569343e-05,8.929197080291971e-05,2.6784313725490197e-05,3.16797385620915e-05,3.653932584269663e-05,6.692746113989637e-05,0.0001239004524886878,0.00011013215859030837,5.4066985645933016e-05,4.2372881355932206e-05,3.5433070866141735e-05,0.00011746303501945525,9.121621621621621e-05,0.00011583011583011582,0.00010367892976588629
Al,,Romania,0.0013170731707317074,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al,,Russia,0.02804878048780488,0.03255813953488372,0.030882352941176472,0.029197080291970802,0.032846715328467155,0.03594771241830065,0.0392156862745098,0.028089887640449437,0.032642487046632127,0.026131221719457014,0.025,0.02763157894736842,0.024110169491525425,0.02339763779527559,0.02217898832684825,0.020364864864864864,0.024297297297297297,0.019732441471571906
Al,,Saudia Arabia,,,,,,,,,,,,,,0.0008110236220472441,0.0029571984435797665,0.003527027027027027,0.007586872586872587,0.008016722408026755
Al,(Seperated into loose union in 2003),Serbia & Montenegro (FRY),0.0018373983739837399,0.004883720930232558,0.00463235294117647,0.004452554744525547,0.004467153284671533,,,,,,,,,,,,,
Al,,Sierra Leone,,,,,,,,,0.005549948186528498,0.005289773755656108,0.004204273127753304,0.0036220095693779903,0.004614406779661017,0.005118110236220472,0.0030194552529182878,0.002081081081081081,0.004482625482625483,0.004461538461538461
Al,,Solomon Islands,,,,,,,,,,,,,,,,,,0.000903010033444816
Al,,Suriname ,0.03195934959349594,0.02798449612403101,0.026544117647058822,0.03207299270072993,0.02921167883211679,0.02754967320261438,0.02648169934640523,0.026724719101123597,0.025512953367875648,0.022868778280542987,0.023493392070484582,0.016210526315789474,0.013152542372881356,0.01274015748031496,0.011178988326848249,0.009141891891891891,0.010455598455598455,0.005351170568561873
Al,,Tanzania,,,,,,,,9.21348314606742e-06,2.783937823834197e-05,2.2638009049773757e-05,9.07533039647577e-05,0.0005881339712918661,0.0001652542372881356,0.00014960629921259843,0.00022957198443579767,0.00011148648648648648,0.00010038610038610039,8.695652173913044e-05
Al,,Turkey,0.003723577235772358,0.0035581395348837207,0.003375,0.0017667153284671533,0.002097832116788321,0.0023810849673202615,0.0023910849673202616,0.0026705,0.00399599481865285,0.0015545882352941177,0.0036120176211453746,0.007048712918660287,0.005555084745762712,0.00403509842519685,0.00591887159533074,0.0026877094594594596,0.004214061776061776,0.0036789297658862876
Al,(No Public Data Available),United States,,,,,,,,,,,,,,,,,,
Al,,Venezuela,0.039235772357723575,0.0338062015503876,0.03206617647058824,0.033467153284671536,0.03788909489051095,0.03559160784313726,0.038183006535947715,0.03314606741573034,0.030715025906735752,0.0240859728506787,0.018466960352422908,0.01727751196172249,0.013245762711864407,0.009665354330708661,0.008894941634241245,0.007908783783783783,0.009057915057915058,0.0033177257525083613
